Generation,BestGen,BestEver,AvgFitness,EliteIndex
541,21.900,415.400,-74.382,34
542,41.800,415.400,-88.575,54
543,7.300,415.400,-63.329,36
544,5.500,415.400,-122.259,16
545,4.000,415.400,-93.418,39
546,3.700,415.400,-60.182,8
547,41.300,415.400,-111.998,28
548,5.000,415.400,-73.979,46
549,4.000,415.400,-128.209,23
550,7.700,415.400,-121.379,2
551,7.000,415.400,-46.432,2
552,3.500,415.400,-128.329,50
553,7.300,415.400,-62.413,24
554,4.600,415.400,-37.016,27
555,6.400,415.400,-78.693,39
556,6.700,415.400,-62.388,49
557,3.200,415.400,-78.666,49
558,9.200,415.400,-94.538,31
559,2.700,415.400,-89.461,27
560,6.900,415.400,-62.198,50
561,6.500,415.400,-70.307,23
562,92.400,415.400,-100.773,0
563,172.300,415.400,-134.252,0
564,14.600,415.400,-107.989,26
565,12.300,415.400,-142.711,6
566,2.400,415.400,-147.357,39
567,2.100,415.400,-199.075,33
568,5.900,415.400,-55.964,7
569,2.800,415.400,-146.682,55
570,8.500,415.400,-118.236,19
571,3.400,415.400,-73.357,29
572,9.200,415.400,-33.666,12
573,31.800,415.400,-114.788,39
574,14.400,415.400,-91.025,13
575,12.500,415.400,-61.836,31
576,4.600,415.400,-70.614,6
577,42.200,415.400,-53.989,28
578,4.500,415.400,-74.966,49
579,5.900,415.400,-68.261,29
580,2.300,415.400,-181.414,8
581,6.600,415.400,-55.395,31
582,4.500,415.400,-92.313,6
583,8.600,415.400,-99.964,17
584,6.000,415.400,-99.414,44
585,8.100,415.400,-49.629,1
586,4.200,415.400,-49.848,39
587,3.100,415.400,-41.686,50
588,5.700,415.400,-38.525,55
589,47.500,415.400,-65.696,23
590,4.100,415.400,-67.364,22
591,8.700,415.400,-27.163,34
592,173.600,415.400,-14.830,22
593,266.500,415.400,-17.238,8
594,8.200,415.400,-70.080,37
595,4.000,415.400,-98.770,36
596,31.000,415.400,-154.473,15
597,8.400,415.400,-146.688,51
598,86.200,415.400,-139.848,43
599,2.100,415.400,-206.679,1
600,6.200,415.400,-109.655,25
601,101.800,415.400,-224.721,55
602,2.200,415.400,-229.434,45
603,6.600,415.400,-124.532,1
604,4.800,415.400,-105.702,51
605,18.000,415.400,-92.504,51
606,113.200,415.400,-158.657,54
607,2.100,415.400,-160.664,25
608,7.000,415.400,-70.921,21
609,4.800,415.400,-166.913,22
610,2.400,415.400,-138.638,36
611,6.900,415.400,-104.954,37
612,4.900,415.400,-33.332,55
613,4.700,415.400,-147.796,3
614,3.700,415.400,-163.732,11
615,8.300,415.400,-56.136,14
616,6.300,415.400,-90.284,4
617,4.300,415.400,-81.302,16
618,4.700,415.400,-102.502,4
619,2.400,415.400,-124.764,4
620,6.800,415.400,-161.146,10
621,5.400,415.400,-92.677,21
622,2.600,415.400,-96.377,5
623,4.200,415.400,-88.539,2
624,4.000,415.400,-72.723,48
625,7.700,415.400,-37.596,36
626,3.800,415.400,-62.643,51
627,8.000,415.400,-27.073,19
628,4.000,415.400,-70.413,41
629,7.100,415.400,-79.179,39
630,4.900,415.400,-78.991,32
631,3.800,415.400,-79.993,36
632,6.800,415.400,-97.355,43
633,3.100,415.400,-58.946,55
634,4.400,415.400,-84.129,35
635,4.800,415.400,-156.030,26
636,9.000,415.400,-113.954,50
637,6.100,415.400,-51.752,34
638,94.900,415.400,-138.645,5
639,5.600,415.400,-139.913,16
640,3.800,415.400,-157.698,36
641,3.100,415.400,-190.889,11
642,4.600,415.400,-102.561,6
643,7.600,415.400,-73.016,30
644,5.200,415.400,-144.688,4
645,8.600,415.400,-140.239,48
646,97.400,415.400,-104.291,19
647,4.900,415.400,-117.179,41
648,64.100,415.400,-136.889,54
649,3.200,415.400,-159.673,6
650,2.200,415.400,-122.368,13
651,3.400,415.400,-159.279,21
652,4.500,415.400,-97.464,48
653,2.500,415.400,-213.077,20
654,44.500,415.400,-75.150,12
655,57.700,415.400,-123.336,0
656,6.000,415.400,-212.402,38
657,2.000,415.400,-172.668,29
658,4.600,415.400,-119.161,38
659,1.800,415.400,-168.511,34
660,5.400,415.400,-107.157,27
661,4.700,415.400,-148.030,21
662,4.300,415.400,-138.213,24
663,3.400,415.400,-165.518,25
664,2.100,415.400,-145.020,0
665,3.100,415.400,-245.816,25
666,4.800,415.400,-163.346,20
667,3.600,415.400,-133.180,19
668,2.400,415.400,-122.829,29
669,4.900,415.400,-223.763,34
670,6.400,415.400,-164.780,46
671,7.700,415.400,-91.900,18
672,2.300,415.400,-136.882,28
673,2.800,415.400,-108.005,53
674,8.400,415.400,-131.027,18
675,7.600,415.400,-88.982,37
676,7.600,415.400,-42.805,25
677,7.100,415.400,-83.236,6
678,4.700,415.400,-108.102,0
679,3.900,415.400,-144.811,55
680,3.200,415.400,-196.893,22
681,4.600,415.400,-94.573,39
682,6.600,415.400,-45.229,4
683,345.500,415.400,-92.214,8
684,6.100,415.400,-144.914,49
685,6.700,415.400,-87.064,37
686,8.000,415.400,-88.036,5
687,6.400,415.400,-75.379,3
688,4.900,415.400,-75.430,19
689,5.100,415.400,-70.263,20
690,4.800,415.400,-82.579,1
691,8.100,415.400,-132.448,21
692,4.800,415.400,-118.479,12
693,147.900,415.400,-159.818,26
694,22.100,415.400,-126.771,0
695,5.600,415.400,-101.679,49
696,7.500,415.400,-149.986,2
697,41.100,415.400,-110.886,53
698,4.300,415.400,-171.586,3
699,4.100,415.400,-102.114,11
700,4.500,415.400,-185.570,47
701,5.600,415.400,-116.675,33
702,3.200,415.400,-130.996,33
703,4.300,415.400,-151.939,33
704,7.100,415.400,-84.034,31
705,9.300,415.400,-135.818,55
706,7.900,415.400,-89.225,55
707,4.200,415.400,-42.470,9
708,4.900,415.400,-131.907,18
709,9.100,415.400,-69.512,54
710,3.100,415.400,-120.557,44
711,7.500,415.400,-125.466,11
712,2.500,415.400,-199.048,7
713,8.400,415.400,-54.102,50
714,5.800,415.400,-129.763,8
715,3.600,415.400,-140.527,24
716,7.800,415.400,-168.513,52
717,4.700,415.400,-129.413,21
718,3.100,415.400,-104.655,30
719,4.800,415.400,-69.666,43
720,4.100,415.400,-176.509,55
721,22.100,415.400,-169.973,35
722,5.000,415.400,-135.759,7
723,4.500,415.400,-150.154,55
724,7.000,415.400,-102.784,28
725,3.800,415.400,-94.941,31
726,7.900,415.400,-63.654,28
727,8.500,415.400,-105.793,51
728,21.300,415.400,-89.304,14
729,4.700,415.400,-133.823,30
730,4.400,415.400,-143.993,45
731,4.700,415.400,-65.796,6
732,23.000,415.400,-29.300,6
733,7.100,415.400,-87.961,0
734,12.000,415.400,-78.786,6
735,6.100,415.400,-112.102,45
736,3.200,415.400,-129.418,46
737,5.700,415.400,-67.877,35
738,3.100,415.400,-46.618,48
739,20.400,415.400,-110.214,26
740,4.800,415.400,-100.286,25
